machineId,state,scenario,engineHours,fuelLevelLitres,fuelConsumptionRateLph,loadCycles,idleTime,engineRpm,engineTemperature,hydraulicTemperature,vibration,seatbeltStatus,eta_minutes
EXC003,OPERATING,NORMAL,1236.04,171.51,14,431,268.47,750,76,70,0.33,true,41.83
EXC001,OPERATING,NORMAL,1153.83,285.68,14,109,61.07,1300,80,72,0.8,true,27.68
EXC003,LOADING,NORMAL,1243.75,63.85,22,753,460.47,1850,88,90,0.65,true,64.62
EXC001,IDLE,EXCESSIVE_IDLE,1154.97,269.44,4,159,86.47,550,84,80,0.49,true,37.1
EXC001,OPERATING,NORMAL,1151.51,318.69,14,9,3.53,1200,78,72,0.35,true,18.67
EXC002,IDLE,NORMAL,1354.72,204.17,4,352,222.07,1150,80,83,0.37,true,38.86
EXC001,LOADING,OVERHEATING,1169.12,70.92,22,749,430.87,1850,93,90,0.96,true,73.43
EXC003,TRANSPORTING,NORMAL,1240.26,112.44,18,608,374.4,1600,84,82,1.04,true,54.76
EXC003,TRANSPORTING,NORMAL,1234.92,187.24,18,385,239.07,1650,86,88,0.57,true,41.45
EXC003,TRANSPORTING,NORMAL,1233.93,200.98,18,344,214.33,1600,84,82,0.55,true,38.65
EXC002,TRANSPORTING,NORMAL,1357.3,167.65,18,460,282.27,1600,84,82,0.55,true,44.3
EXC002,IDLE,EXCESSIVE_IDLE,1361.57,107.82,4,638,386.73,550,86,88,0.57,true,65.56
EXC003,TRANSPORTING,SEATBELT_VIOLATION,1230.98,241.89,18,226,137.87,1600,84,82,0.96,false,38.77
EXC001,STARTING,NORMAL,1164.52,135.34,8,556,320.07,600,74,68,1.04,true,52.55
EXC003,IDLE,NORMAL,1226.74,301.4,4,56,33.27,400,76,68,0.96,true,28.94
EXC001,OPERATING,NORMAL,1154.9,270.47,14,155,84.93,1050,76,72,0.33,true,26.51
EXC002,STARTING,NORMAL,1353.97,214.73,8,320,204.8,700,74,77,0.25,true,38.41
EXC003,OPERATING,NORMAL,1241.02,101.73,14,641,391.4,750,78,76,0.33,true,58.58
EXC003,OPERATING,NORMAL,1240.38,110.77,14,613,376.27,1050,83,80,0.33,true,52.64
EXC001,TRANSPORTING,NORMAL,1159.47,206.31,18,347,192.87,1600,84,82,0.55,true,39.17
EXC003,TRANSPORTING,NORMAL,1233.07,213.14,18,308,194.93,1600,91,88,0.96,true,41.11
EXC001,OPERATING,NORMAL,1169.21,69.69,14,752,432.93,1050,83,80,0.64,true,59.65
EXC001,STARTING,OVERHEATING,1161.46,177.56,8,432,234.4,550,93,90,0.56,true,51.63
EXC003,OPERATING,NORMAL,1235.96,172.67,14,428,266.8,1050,76,72,0.33,true,39.97
EXC002,UNLOADING,NORMAL,1359.12,142.41,16,531,328.8,1450,82,84,0.47,true,53.69
EXC002,STARTING,NORMAL,1360.58,121.89,8,595,364.67,700,76,72,0.25,true,56.37
EXC003,OPERATING,PROXIMITY_HAZARD,1239.88,117.8,14,592,365.8,750,78,72,0.33,true,58.36
EXC002,LOADING,NORMAL,1351.32,251.95,22,209,136.6,1800,84,76,0.51,true,33.94
EXC003,IDLE,NORMAL,1238.68,134.81,4,541,340.87,1000,79,81,0.29,true,58.28
EXC002,TRANSPORTING,NORMAL,1354.33,209.58,18,335,212.27,1600,84,82,0.55,true,39.98
EXC003,STARTING,NORMAL,1229.46,263.41,8,164,103.13,900,74,73,0.25,true,28.48
EXC001,STARTING,ABNORMAL_FUEL_CONSUMPTION,1158.16,224.86,12.8,293,163.07,900,74,73,0.25,true,41.24
EXC001,STARTING,NORMAL,1167.83,89.23,8,694,402.6,600,79,76,0.25,true,58.92
EXC002,IDLE,EXCESSIVE_IDLE,1364.19,71.16,4,745,452.47,550,79,76,0.15,true,70.45
EXC002,LOADING,NORMAL,1358.67,148.73,22,514,319.2,1800,88,80,1.04,true,46.67
EXC003,OPERATING,NORMAL,1226.79,300.59,14,58,33.93,1350,80,72,1.04,true,25.14
EXC003,OPERATING,SEATBELT_VIOLATION,1229.34,265.11,14,158,100.53,1350,80,72,0.35,false,33.29
EXC003,UNLOADING,NORMAL,1240.92,103.2,16,636,388.93,1300,82,85,0.45,true,58.26
EXC003,IDLE,NORMAL,1234.16,197.86,4,352,219.8,850,89,86,0.21,true,43.21
EXC003,TRANSPORTING,NORMAL,1238.97,130.59,18,553,346.87,1600,84,82,0.55,true,52.34
EXC002,LOADING,NORMAL,1355.07,199.3,22,366,230.07,1800,91,90,0.51,true,42.01
EXC002,LOADING,NORMAL,1357.29,167.77,22,460,282.27,1850,86,78,0.65,true,43.9
EXC003,IDLE,NORMAL,1235.71,175.96,4,419,259.27,1000,78,81,0.29,true,48.24
EXC002,UNLOADING,PROXIMITY_HAZARD,1356.25,182.46,16,416,255.6,1300,82,85,0.45,true,50.42
EXC001,TRANSPORTING,NORMAL,1167.98,87.2,18,701,407.6,1600,84,82,0.55,true,60.19
EXC001,OPERATING,NORMAL,1152.66,302.42,14,58,32.4,1350,80,72,0.4,true,25.07
EXC001,LOADING,NORMAL,1165.65,119.68,22,605,348.6,1850,88,80,0.65,true,48.14
EXC001,LOADING,NORMAL,1156.33,250.44,22,213,115.2,1600,84,76,0.51,true,33.41
EXC002,TRANSPORTING,HIGH_VIBRATION,1353.33,223.68,18,295,187.13,1600,84,82,1.12,true,46.13
EXC001,TRANSPORTING,NORMAL,1167.95,87.55,18,700,407.33,1600,84,82,0.8,true,60.79
EXC003,STARTING,NORMAL,1240.38,110.79,8,613,376.27,850,87,84,0.25,true,58.13
EXC002,LOADING,NORMAL,1363.27,84.06,22,707,430.27,1750,86,78,0.59,true,53.41
EXC001,UNLOADING,NORMAL,1164.97,129.05,16,575,331.4,1300,82,85,0.45,true,48.97
EXC001,OPERATING,NORMAL,1168.92,73.84,14,739,426.8,1350,80,72,0.35,true,58.74
EXC003,UNLOADING,NORMAL,1230.69,245.95,16,214,131.47,1300,82,85,0.45,true,32.07
EXC002,IDLE,NORMAL,1359.9,131.33,4,565,346,1000,78,81,0.29,true,54.59
EXC003,LOADING,NORMAL,1231.82,230.27,22,259,160.53,1650,86,78,0.59,true,34.49
EXC001,IDLE,NORMAL,1168.35,82,4,716,416.53,850,79,79,0.21,true,63.05
EXC001,STARTING,NORMAL,1159.07,212.08,8,330,184.8,700,87,84,0.39,true,37.89
EXC003,LOADING,NORMAL,1232.54,220.58,22,286,181.13,1650,91,90,0.43,true,36.83
EXC003,IDLE,NORMAL,1238.85,132.43,4,548,344,700,74,77,0.15,true,51.47
EXC003,LOADING,NORMAL,1231.06,240.76,22,230,139.73,1800,84,76,0.88,true,33.1
EXC001,IDLE,EXCESSIVE_IDLE,1156.88,242.71,4,238,127.67,550,83,80,0.88,true,43.07
EXC003,IDLE,ABNORMAL_FUEL_CONSUMPTION,1240.29,112.02,6.4,609,374.93,700,74,77,0.15,true,62.94
EXC002,LOADING,ABNORMAL_FUEL_CONSUMPTION,1359.11,142.53,35.2,531,328.8,1800,88,80,0.65,true,54.2
EXC001,TRANSPORTING,NORMAL,1156.41,249.39,18,216,116.4,1600,84,82,0.55,true,33.24
EXC002,LOADING,NORMAL,1362.69,92.2,22,683,416.53,1750,86,78,0.59,true,58.16
EXC003,LOADING,NORMAL,1231.73,231.68,22,255,158.27,1800,84,76,1.04,true,34
EXC003,IDLE,NORMAL,1234,200.12,4,346,216.67,1000,78,81,0.29,true,44.11
EXC003,OPERATING,NORMAL,1242.73,78.09,14,710,432.87,1000,80,82,0.64,true,59.9
EXC003,TRANSPORTING,NORMAL,1227.93,284.67,18,104,63.87,1600,84,82,0.55,true,26.45
EXC003,UNLOADING,NORMAL,1240.4,110.47,16,614,376.27,1300,82,85,0.45,true,56.75
EXC003,OPERATING,PROXIMITY_HAZARD,1226.71,301.81,14,55,32.07,1300,80,72,0.35,true,26.13
EXC003,TRANSPORTING,NORMAL,1243.82,62.79,18,756,463.33,1600,84,82,0.55,true,64
EXC002,LOADING,NORMAL,1361.11,114.41,22,619,377.6,1800,88,80,0.65,true,50.86
EXC002,OPERATING,PROXIMITY_HAZARD,1355.2,197.43,14,371,233.47,1200,78,72,0.72,true,45.08
EXC003,LOADING,NORMAL,1243.22,71.23,22,730,447.2,1350,88,88,0.43,true,60.78
EXC002,OPERATING,NORMAL,1354.18,211.81,14,328,208.87,1050,91,88,0.4,true,38.83
EXC002,LOADING,NORMAL,1364.88,61.57,22,775,468.33,1800,91,90,0.51,true,62.29
EXC002,TRANSPORTING,NORMAL,1359.9,131.39,18,565,345.87,1600,84,82,0.55,true,48.69
EXC003,IDLE,ABNORMAL_FUEL_CONSUMPTION,1241.95,88.88,6.4,678,413.13,1150,80,83,0.37,true,65.57
EXC001,TRANSPORTING,NORMAL,1161.12,182.45,18,417,225.73,1600,84,82,0.55,true,35.96
EXC003,IDLE,NORMAL,1239.65,121.04,4,583,360.73,1150,80,83,0.37,true,53.6
EXC002,LOADING,HIGH_VIBRATION,1349.12,282.3,22,120,78.87,1500,84,76,1.12,true,28.83
EXC001,TRANSPORTING,NORMAL,1160.26,194.8,18,382,208.6,1600,84,82,0.55,true,40.72
EXC002,OPERATING,NORMAL,1348.43,291.71,14,92,58.53,1050,91,88,0.88,true,26.7
EXC001,IDLE,NORMAL,1164.94,129.59,4,573,330.67,1000,78,81,0.29,true,54.93
EXC001,STARTING,NORMAL,1155.61,260.73,8,183,102.87,450,72,67,0.23,true,25.99
EXC002,OPERATING,NORMAL,1359.29,140.15,14,539,333.07,1200,78,72,0.35,true,48.25
EXC001,IDLE,EXCESSIVE_IDLE,1163.38,151.05,4,511,288.67,550,85,82,0.35,true,53.63
EXC001,LOADING,NORMAL,1157.88,228.84,22,282,156.33,1850,86,78,0.59,true,32.56
EXC001,LOADING,SEATBELT_VIOLATION,1161.69,174.55,22,440,241.07,1650,88,86,0.59,false,42.48
EXC003,UNLOADING,NORMAL,1234.5,193.1,16,366,227.4,1450,82,84,0.8,true,43.04
EXC001,IDLE,SEATBELT_VIOLATION,1155.16,266.83,4,166,90.33,300,81,78,0.15,false,36.2
EXC002,IDLE,NORMAL,1348.99,284.13,4,114,75.13,400,84,76,0.72,true,31.84
EXC002,OPERATING,PROXIMITY_HAZARD,1355.38,194.83,14,379,236.67,1150,80,72,0.88,true,46.08
EXC003,TRANSPORTING,NORMAL,1240.04,115.57,18,599,369.53,1600,84,82,0.55,true,53.26
EXC003,UNLOADING,NORMAL,1242.68,78.7,16,708,431.87,1450,82,84,0.96,true,66.44
EXC001,IDLE,NORMAL,1155.46,262.75,4,178,98.2,1150,80,83,0.37,true,30.93
EXC001,STARTING,NORMAL,1159.3,208.82,8,340,189.67,850,91,88,0.88,true,40.98
EXC002,LOADING,NORMAL,1348.9,285.32,22,110,73.27,1650,89,90,0.43,true,29.59
EXC001,IDLE,EXCESSIVE_IDLE,1169.74,62.24,4,774,443.8,550,85,82,0.4,true,71.98
EXC003,UNLOADING,NORMAL,1233.75,203.7,16,336,209.33,1300,82,85,0.45,true,40.76
EXC002,UNLOADING,NORMAL,1361.5,108.72,16,635,385.47,1300,82,85,0.45,true,55.58
EXC003,STARTING,NORMAL,1232.67,218.77,8,291,184.53,550,74,68,1.04,true,42.31
EXC001,UNLOADING,NORMAL,1159.02,212.78,16,328,182.33,1300,89,86,0.45,true,39.05
EXC001,LOADING,NORMAL,1152.39,306.45,22,45,28.07,1650,89,90,0.43,true,21.41
EXC001,LOADING,NORMAL,1156.76,244.29,22,233,125.2,1850,86,78,0.59,true,28.5
EXC002,TRANSPORTING,HIGH_VIBRATION,1354.19,211.65,18,329,208.87,1600,84,86,1.12,true,49.33
EXC003,IDLE,PROXIMITY_HAZARD,1233.7,204.39,4,334,209,850,87,84,0.21,true,42.95
EXC001,OPERATING,NORMAL,1159.65,203.79,14,354,197.4,1000,78,72,0.35,true,33.41
EXC003,LOADING,NORMAL,1238.14,142.28,22,520,326.93,1850,88,80,0.96,true,47.91
EXC003,OPERATING,NORMAL,1237.69,148.49,14,500,313.07,1200,80,72,0.35,true,50.19
EXC001,TRANSPORTING,NORMAL,1161.31,179.66,18,426,229.13,1600,84,82,0.55,true,39.86
EXC001,OPERATING,NORMAL,1159.65,203.77,14,354,197.4,1150,80,72,0.35,true,37.66
EXC002,STARTING,NORMAL,1360.55,122.29,8,594,363.67,900,74,73,0.25,true,52.9
EXC003,UNLOADING,NORMAL,1228.51,276.65,16,126,78.93,1450,82,84,0.47,true,31.26
EXC003,OPERATING,NORMAL,1240.69,106.45,14,625,383.8,1350,80,72,0.35,true,53.53
EXC003,TRANSPORTING,NORMAL,1231.78,230.89,18,257,159.6,1600,84,82,0.55,true,35.2
EXC001,IDLE,HIGH_VIBRATION,1162.96,156.82,4,494,276.53,850,87,84,1.12,true,55.33
EXC003,LOADING,NORMAL,1241.25,98.62,22,649,397.33,1650,82,74,0.43,true,52.77
EXC002,OPERATING,NORMAL,1351.77,245.52,14,231,147.4,1150,80,72,0.35,true,31.05
EXC002,TRANSPORTING,NORMAL,1353.88,215.97,18,317,202.8,1600,87,84,0.55,true,36.6
EXC003,OPERATING,NORMAL,1227.44,291.82,14,81,53.27,1200,91,88,0.35,true,22.28
EXC003,TRANSPORTING,NORMAL,1232.25,224.44,18,275,172,1600,84,82,0.55,true,40.07
EXC002,OPERATING,NORMAL,1360.14,128.07,14,575,353.13,1050,76,72,0.33,true,55.22
EXC003,TRANSPORTING,NORMAL,1237.52,150.72,18,494,306.4,1700,86,82,0.57,true,48.77
EXC002,LOADING,NORMAL,1361.22,112.79,22,623,379.8,1600,82,76,0.43,true,55.09
EXC001,IDLE,SEATBELT_VIOLATION,1165.11,127.09,4,582,335.53,850,76,79,0.21,false,59.85
EXC002,IDLE,NORMAL,1353.62,219.7,4,306,196,1150,85,83,0.37,true,40.39
EXC002,STARTING,NORMAL,1348.67,288.51,8,101,67.27,850,74,75,0.32,true,31.35
EXC003,IDLE,NORMAL,1228.45,277.56,4,123,77.93,1150,80,83,0.37,true,28.3
EXC003,STARTING,NORMAL,1232.95,214.95,8,302,192.33,600,74,68,0.25,true,38.73
EXC002,OPERATING,NORMAL,1356.88,173.48,14,443,270.33,1150,80,72,1.04,true,47.67
EXC001,OPERATING,SEATBELT_VIOLATION,1169.42,66.67,14,761,435.93,1050,77,72,0.88,false,69.09
EXC001,IDLE,ABNORMAL_FUEL_CONSUMPTION,1158.9,214.53,6.4,322,179.07,850,76,79,0.72,true,45.86
EXC001,LOADING,NORMAL,1169.88,60.37,22,780,446.2,1850,86,78,0.64,true,62.19
EXC002,TRANSPORTING,OVERHEATING,1356.14,183.98,18,412,254.13,1600,93,90,0.55,true,52.9
EXC001,TRANSPORTING,NORMAL,1156.29,251.05,18,211,114.27,1600,84,82,0.55,true,29.35
EXC002,TRANSPORTING,NORMAL,1356.58,177.76,18,430,263.33,1600,84,82,0.55,true,42.98
EXC003,IDLE,NORMAL,1228.35,279.06,4,119,76.4,1000,78,81,0.64,true,28.99
EXC001,LOADING,NORMAL,1151.81,314.52,22,22,13.47,1800,88,80,0.65,true,20.46
EXC003,IDLE,NORMAL,1236.88,159.73,4,467,288.93,1000,78,81,0.29,true,45.28
EXC003,OPERATING,NORMAL,1231.08,240.46,14,230,140,1500,80,72,0.35,true,31.88
EXC003,UNLOADING,NORMAL,1229.5,262.74,16,166,103.4,1300,82,85,0.45,true,33.81
EXC003,STARTING,NORMAL,1233.63,205.44,8,331,208.27,450,78,70,0.88,true,41.12
EXC002,IDLE,NORMAL,1364.67,64.5,4,764,462.53,300,74,66,0.15,true,68.66
EXC002,LOADING,NORMAL,1364.47,67.21,22,757,457.47,1850,88,80,0.65,true,63.23
EXC001,LOADING,SEATBELT_VIOLATION,1152.51,304.71,22,51,30.07,1650,82,74,0.43,false,21.38
EXC003,OPERATING,NORMAL,1237.54,150.49,14,494,307.07,1300,89,86,0.35,true,46.74
EXC001,STARTING,NORMAL,1155.51,262.19,8,179,100.33,850,87,84,0.25,true,30
EXC001,LOADING,NORMAL,1154.25,279.49,22,129,69.87,1650,91,90,0.65,true,29.34
EXC002,LOADING,NORMAL,1363.66,78.45,22,723,437.87,1800,84,76,0.51,true,55.8
EXC001,TRANSPORTING,NORMAL,1163.48,149.7,18,515,290.87,1700,86,82,0.96,true,51.2
EXC001,IDLE,EXCESSIVE_IDLE,1161.64,175.09,4,438,240,550,74,66,0.15,true,52.33
EXC002,IDLE,NORMAL,1358.36,152.97,4,500,309.47,1150,80,83,0.64,true,51.69
EXC001,TRANSPORTING,NORMAL,1164.5,135.53,18,556,318.73,1700,86,82,0.57,true,48.62
EXC001,OPERATING,NORMAL,1163.08,155.21,14,499,280.67,1200,80,72,0.64,true,44.6
EXC001,TRANSPORTING,NORMAL,1152.45,305.44,18,49,29.07,1600,84,82,0.55,true,22.61
EXC001,LOADING,NORMAL,1151.77,315.13,22,20,12.6,1500,84,76,0.51,true,20.76
EXC001,IDLE,EXCESSIVE_IDLE,1154.5,276.2,4,137,76.4,550,72,73,0.96,true,39.56
EXC001,IDLE,NORMAL,1157.03,240.5,4,245,130.67,1000,78,81,0.64,true,35.95
EXC003,IDLE,NORMAL,1226.58,303.49,4,51,28.2,1150,81,83,0.37,true,27.29
EXC002,STARTING,NORMAL,1346.37,319.98,8,7,0.2,450,72,67,0.23,true,17.69
EXC001,OPERATING,NORMAL,1151.43,319.7,14,6,0.73,1000,80,72,0.35,true,18.81
EXC001,TRANSPORTING,NORMAL,1164.53,135.12,18,557,320.07,1600,84,82,0.55,true,53.06
EXC001,IDLE,ABNORMAL_FUEL_CONSUMPTION,1159.77,202.06,6.4,359,199.47,1000,79,81,0.29,true,50.27
EXC003,TRANSPORTING,NORMAL,1243.17,71.9,18,728,445.87,1600,84,82,0.55,true,61.19
EXC002,IDLE,HIGH_VIBRATION,1347.47,305.18,4,51,33.87,700,91,88,1.12,true,35.22
EXC002,TRANSPORTING,NORMAL,1350.57,262.18,18,179,116.4,1600,87,84,0.96,true,31.94
EXC003,TRANSPORTING,NORMAL,1230.38,250.43,18,201,123.93,1600,84,82,0.55,true,29.77
EXC003,OPERATING,NORMAL,1233.09,213.02,14,308,195.2,1200,78,72,0.35,true,35.48
EXC003,TRANSPORTING,NORMAL,1235.41,180.13,18,406,251.2,1600,85,82,0.55,true,43.21
EXC002,STARTING,NORMAL,1350.13,268.36,8,160,104.93,850,74,75,0.23,true,31.22
EXC002,IDLE,OVERHEATING,1357.6,163.51,4,471,289.8,300,93,90,0.15,true,59.29
EXC001,TRANSPORTING,NORMAL,1163.28,152.44,18,507,285.67,1600,84,82,0.55,true,49.55
EXC003,TRANSPORTING,NORMAL,1228.54,276.26,18,127,79.73,1600,89,86,0.56,true,30.67
EXC002,IDLE,NORMAL,1348.89,285.45,4,110,73.07,1150,83,83,0.37,true,31.41
EXC003,UNLOADING,NORMAL,1225.47,319.03,16,8,1.13,1450,87,85,0.47,true,21.71
EXC001,STARTING,ABNORMAL_FUEL_CONSUMPTION,1161.98,170.68,12.8,450,249.87,450,74,68,0.23,true,49.21
EXC003,IDLE,NORMAL,1240.52,108.8,4,619,379.87,850,76,79,0.64,true,54.12
EXC002,IDLE,NORMAL,1362.17,99.42,4,661,402.33,300,91,88,0.21,true,62.8
EXC003,OPERATING,NORMAL,1232.75,217.74,14,294,186.53,1050,76,72,0.33,true,35.39
EXC001,LOADING,NORMAL,1168.88,74.48,22,738,426.27,1500,84,76,0.65,true,59.07
EXC001,TRANSPORTING,NORMAL,1167.88,88.5,18,697,404.87,1600,84,82,0.55,true,55.92
EXC003,OPERATING,NORMAL,1242.76,77.68,14,711,433.13,1500,91,88,0.64,true,62.06
EXC002,OPERATING,NORMAL,1354.64,205.32,14,349,220.27,1050,76,72,0.72,true,41.54
EXC003,OPERATING,NORMAL,1239.21,127.3,14,564,353.4,1200,85,82,0.35,true,47.17
EXC003,UNLOADING,NORMAL,1225.67,316.17,16,16,6,1450,82,84,0.96,true,23.36
EXC001,UNLOADING,NORMAL,1157.75,230.5,16,276,151.53,1300,82,85,0.45,true,33.7
EXC001,TRANSPORTING,NORMAL,1154.94,269.88,18,157,85.2,1600,87,84,0.55,true,28.32
EXC003,OPERATING,NORMAL,1243.55,66.76,14,744,457.93,1200,80,72,0.35,true,60.99
EXC002,TRANSPORTING,NORMAL,1351.14,254.39,18,201,132,1600,84,82,0.55,true,31.21
EXC002,OPERATING,NORMAL,1346.87,313.3,14,26,15,1450,80,72,1.04,true,23.77
EXC003,UNLOADING,NORMAL,1229.24,266.53,16,154,98.53,1450,82,84,0.47,true,27.9
EXC003,OPERATING,SEATBELT_VIOLATION,1226.79,300.62,14,58,33.93,1050,76,72,0.33,false,26.58
EXC003,IDLE,ABNORMAL_FUEL_CONSUMPTION,1242.6,79.88,6.4,704,430.8,400,70,71,0.24,true,67.89
EXC001,TRANSPORTING,PROXIMITY_HAZARD,1155.83,257.54,18,192,106.4,1600,84,82,0.55,true,33.57
EXC002,UNLOADING,NORMAL,1352.58,234.03,16,265,164.2,1450,82,84,0.47,true,38.05
EXC001,OPERATING,NORMAL,1160.87,185.97,14,407,219.93,1350,80,72,0.96,true,39.03
EXC001,LOADING,NORMAL,1159.33,208.43,22,342,190.13,1750,89,90,0.51,true,37.28
EXC001,STARTING,NORMAL,1169.57,64.56,8,768,438.4,850,74,75,1.04,true,65.4
EXC002,OPERATING,NORMAL,1353.21,225.31,14,290,183.6,900,78,72,0.48,true,35.75
EXC002,TRANSPORTING,NORMAL,1348.57,289.8,18,98,63.07,1600,84,82,0.55,true,22.56
EXC001,TRANSPORTING,NORMAL,1157.72,230.97,18,275,150.87,1600,84,86,0.55,true,34.78
EXC003,OPERATING,NORMAL,1236.1,170.68,14,433,269.6,750,76,70,0.33,true,40.02
EXC003,OPERATING,NORMAL,1234.91,187.39,14,384,239.07,900,78,72,0.4,true,35.78
EXC003,LOADING,NORMAL,1228,283.67,22,107,65.47,1850,86,78,0.59,true,23.23
EXC001,OPERATING,NORMAL,1156.82,243.55,14,235,126.2,1050,85,82,0.33,true,31.3
EXC001,OPERATING,NORMAL,1153.07,296.48,14,77,42.87,1350,80,72,1.04,true,20.92
EXC003,TRANSPORTING,NORMAL,1226.87,299.7,18,60,37.53,1700,86,82,0.57,true,24.05
EXC002,OPERATING,OVERHEATING,1350.75,260.04,14,184,124.13,1200,93,90,0.35,true,41.67
EXC002,UNLOADING,HIGH_VIBRATION,1349.69,274.43,16,143,94.13,1450,82,84,1.12,true,35.02
EXC001,TRANSPORTING,NORMAL,1151.81,314.5,18,22,13.47,1650,86,82,0.57,true,21.4
EXC001,IDLE,NORMAL,1166.7,104.95,4,649,375.47,700,77,77,0.15,true,59.04
EXC002,OPERATING,NORMAL,1358.12,156.34,14,491,301.8,1150,80,76,0.35,true,45.85
EXC002,LOADING,PROXIMITY_HAZARD,1363.52,80.54,22,716,435.07,1450,88,88,0.43,true,62.46
EXC003,TRANSPORTING,NORMAL,1235.67,176.46,18,418,258.2,1600,84,82,0.55,true,42.21
EXC002,STARTING,NORMAL,1362.17,99.41,8,661,402.4,450,87,84,0.23,true,55.17
EXC001,UNLOADING,NORMAL,1162.12,168.69,16,456,254.53,1300,82,85,0.96,true,45.23
EXC003,OPERATING,SEATBELT_VIOLATION,1228.41,278.25,14,121,77.6,1050,76,72,0.33,false,32.08
EXC001,TRANSPORTING,HIGH_VIBRATION,1153.86,285.15,18,111,61.6,1600,84,82,1.12,true,31.36
EXC003,TRANSPORTING,NORMAL,1243.32,69.78,18,736,450.2,1600,84,82,0.64,true,62.46
EXC003,LOADING,NORMAL,1241.53,94.84,22,661,405.13,1800,84,76,0.51,true,51.61
EXC002,TRANSPORTING,NORMAL,1359.69,134.36,18,557,341.73,1600,84,82,0.55,true,51.36
EXC001,IDLE,EXCESSIVE_IDLE,1168.98,72.92,4,742,428.07,550,89,86,0.37,true,72.81
EXC001,LOADING,ABNORMAL_FUEL_CONSUMPTION,1162.23,167.13,35.2,461,257.4,1350,82,74,0.43,true,50.05
EXC002,LOADING,SEATBELT_VIOLATION,1364.7,64.02,22,766,462.87,1800,84,80,0.8,false,65.09
EXC002,TRANSPORTING,ABNORMAL_FUEL_CONSUMPTION,1361.89,103.18,28.8,651,392.73,1600,84,82,0.88,true,65.98
EXC003,IDLE,NORMAL,1233.21,211.18,4,313,197.33,1150,80,83,0.37,true,40.33
EXC003,LOADING,NORMAL,1231.39,236.25,22,243,150.13,1750,86,78,1.04,true,37
EXC001,LOADING,NORMAL,1152.78,300.6,22,64,34.73,1850,88,80,0.65,true,21.75
EXC002,LOADING,NORMAL,1354.26,210.62,22,332,210.73,1750,84,76,0.51,true,36.18
EXC001,STARTING,NORMAL,1151.48,319.1,8,8,3.27,450,72,68,0.23,true,22.38
EXC001,TRANSPORTING,NORMAL,1166.58,106.76,18,644,372.67,1600,84,82,0.55,true,55.32
EXC002,OPERATING,NORMAL,1353.47,221.79,14,300,191.53,1200,78,72,0.8,true,39.7
EXC001,OPERATING,NORMAL,1156.41,249.33,14,216,117,750,76,72,0.8,true,33.31
EXC001,IDLE,NORMAL,1165.91,115.97,4,615,353.93,850,76,79,0.21,true,59.44
